LAST NAME,FIRST NAME,Monthly Rate,Daily Rate,Hourly Rate,Per Minute Rate,Total Hours,Basic Pay,Total OT Hours,Total Overtime Pay,Adjustments/ Others,Total Earnings,Adjustment,Total Minutes,Total Late/ Undertime,Cash Advance/    Others,Total Deductions,Total Service Fee,Government Contributions,,,,Total Semi-monthly Contributions,Net Pay,,
,,,,,,,,,,,,,,,,,,SSS,Philhealth,HDMF,Withholding Tax,,,,
SAMPLE LAST NAME 16,SAMPLE FIRST NAME 16,"₱39,000.00","₱1,950.00",₱243.75,4.06,84,"₱20,475.00",0,₱0.00,,"₱20,475.00",,0,₱0.00,,₱0.00,"₱20,475.00","₱1,750.00",₱975.00,₱780.00,"₱1,504.10","₱3,256.60","17,218.40",,
SAMPLE LAST NAME 16,SAMPLE FIRST NAME 16,"₱39,000.00","₱1,950.00",₱243.75,4.06,84,"₱20,475.00",0,₱0.00,,"₱20,475.00",,0,₱0.00,,₱0.00,"₱20,475.00",₱875.00,₱487.50,₱390.00,"₱1,504.10","₱3,256.60","17,218.40",,
SAMPLE LAST NAME 16,SAMPLE FIRST NAME 16,"₱39,000.00","₱1,950.00",₱243.75,4.06,84,"₱20,475.00",0,₱0.00,,"₱20,475.00",,0,₱0.00,,₱0.00,"₱20,475.00",₱875.00,₱487.50,₱390.00,₱752.05,"₱2,504.55","17,970.45",,
SAMPLE LAST NAME 16,SAMPLE FIRST NAME 16,"₱39,000.00","₱1,950.00",₱243.75,4.06,84,"₱20,475.00",0,₱0.00,,"₱20,475.00",,0,₱0.00,,₱0.00,"₱20,475.00","₱1,750.00",₱975.00,₱780.00,"₱1,504.10","₱2,504.55","17,970.45",,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,MONTHLY / 2,,,,,,"TOTAL EARNINGS +  ((SSS, PH, PAGIBIG) / 2)",,,,,,,,,,
BASE,BRACKET 1,BRACKET 2,BRACKET 3,BRACKET 4,BRACKET 5,BRACKET 6,,,TaxablePay (semi-monthly),WHT (semi-monthly),,,,,TaxablePay (semi-monthly),WHT (semi-monthly),,,,,,,,,
,1,685,1096,2192,5479,21918,,,"₱19,500.00","₱1,504.10",,,,,"₱18,722.50","₱1,348.60",,,,,,,,,
Daily,0.00%,15.00%,20.00%,25.00%,30.00%,35.00%,,,,,,,,,,,,,,,,,,,
,0,0,61.65,280.85,"1,102.60",6034,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TaxablePay (monthly),WHT (Monthly),,,,,TaxablePay (monthly),WHT (Monthly),,,,,,,,,
,1,4808,7692,15385,38462,153846,,,"₱39,000.00","₱3,008.40",,,,,,"₱3,008.40",,,,,,,,,
Weekly,0.00%,15.00%,20.00%,25.00%,30.00%,35.00%,,,,,,,,,,,,,,,,,,,
,0,0,432.6,1971.2,7740.45,42355.65,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1,10417,16667,33333,83333,333333,,,,,,,,,,,,,,,,,,,
Semi-monthly,0.00%,15.00%,20.00%,25.00%,30.00%,35.00%,,,,,,,,,,,,,,,,,,,
,0,0,937.5,4270.7,16770.7,91770.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1,20833,33333,66667,166667,666667,,,,,,,,,,,,,,,,,,,
Monthly,0.00%,15.00%,20.00%,25.00%,30.00%,35.00%,,,,,,,,,,,,,,,,,,,
,0,0,1875,8541.8,33541.8,183541.8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1,250000,400000,800000,2000000,8000000,,,,,,,,,,,,,,,,,,,
Annually,0.00%,15.00%,20.00%,25.00%,30.00%,35.00%,,,,,,,,,,,,,,,,,,,
,0,0,22500,102500,402500,2202500,,,,,,,,,,,,,,,,,,,
