LAST NAME,FIRST NAME,Monthly Rate,Daily Rate,Hourly Rate,Per Minute Rate,Total Hours,Basic Pay,Total OT Hours,Total Overtime Pay,Adjustments/ Others,Total Earnings,Adjustment,Total Minutes,Total Late/ Undertime,Cash Advance/    Others,Total Deductions,Total Service Fee,Government Contributions,,,,Total Semi-monthly Contributions,Net Pay
,,,,,,,,,,,,,,,,,,SSS,Philhealth,HDMF,Withholding Tax,,
SAMPLE LAST NAME 1,SAMPLE FIRST NAME 1,"₱21,000.00","₱1,050.00",₱131.25,2.19,80,"₱10,500.00",4,₱525.00,,"₱11,025.00",,33,₱72.27,"₱1,250.00","₱1,322.27","₱9,702.73","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"8,752.73"
SAMPLE LAST NAME 2,SAMPLE FIRST NAME 2,"₱21,000.00",₱965.52,₱120.69,2.01,,"₱10,500.00",,₱0.00,"₱2,641.09","₱13,141.09",,547,"₱1,099.47",,"₱1,099.47","₱12,041.62",₱0.00,₱0.00,₱0.00,₱0.00,₱0.00,"12,041.62"
SAMPLE LAST NAME 3,SAMPLE FIRST NAME 3,"₱19,500.00",₱975.00,₱121.88,2.03,84,"₱10,237.50",,₱0.00,,"₱10,237.50",,0,₱0.00,,₱0.00,"₱10,237.50",₱975.00,₱487.50,₱390.00,₱0.00,₱926.25,"9,311.25"
ANDRADE,SAMPLE FIRST NAME 4,"₱37,000.00","₱1,850.00",₱231.25,3.85,96,"₱22,200.00",,₱0.00,,"₱22,200.00",,0,₱0.00,"₱1,605.31","₱1,605.31","₱20,594.69","₱1,750.00",₱925.00,₱740.00,"₱1,304.10","₱2,359.55","18,235.14"
SAMPLE LAST NAME 5,SAMPLE FIRST NAME 5,"₱37,000.00","₱1,701.15",₱212.64,3.54,,"₱16,798.85",,₱0.00,"₱1,701.15","₱18,500.00",,0,₱0.00,,₱0.00,"₱18,500.00","₱1,750.00",₱925.00,₱740.00,"₱1,304.10","₱2,359.55","16,140.45"
SAMPLE LAST NAME 6,SAMPLE FIRST NAME 6,"₱20,000.00",₱919.54,₱114.94,1.92,,"₱10,000.00",,₱0.00,,"₱10,000.00",,19,₱71.04,,₱71.04,"₱9,928.96","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"8,978.96"
SAMPLE LAST NAME 7,SAMPLE FIRST NAME 7,"₱21,000.00","₱1,050.00",₱131.25,2.19,116,"₱15,225.00",40,"₱5,250.00",,"₱20,475.00",,161,₱352.59,,₱352.59,"₱20,122.41","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"19,172.41"
SAMPLE LAST NAME 8,SAMPLE FIRST NAME 8,"₱23,000.00","₱1,057.47",₱132.18,2.2,,"₱11,500.00",18,"₱2,379.31",,"₱13,879.31",,0,₱0.00,,₱0.00,"₱13,879.31","₱1,000.00",₱500.00,₱0.00,₱0.00,₱750.00,"13,129.31"
SAMPLE LAST NAME 9,SAMPLE FIRST NAME 9,"₱30,000.00","₱1,379.31",₱172.41,2.87,,"₱15,000.00",,₱0.00,"₱10,000.00","₱26,768.73",,0,₱0.00,"₱2,583.81","₱2,583.81","₱24,184.92","₱1,500.00",₱750.00,₱600.00,₱687.45,"₱1,768.73","22,416.19"
SAMPLE LAST NAME 10,SAMPLE FIRST NAME 10,"₱25,000.00","₱1,149.43",₱143.68,2.39,,"₱12,500.00",2,₱287.36,,"₱12,787.36",,453,"₱1,082.67",,"₱1,082.67","₱11,704.69","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"10,754.69"
SAMPLE LAST NAME 11,SAMPLE FIRST NAME 11,"₱19,500.00",₱975.00,₱121.88,2.03,96,"₱11,700.00",4,₱487.50,"₱2,216.00","₱14,403.50",,0,₱0.00,,₱0.00,"₱14,403.50",₱975.00,₱487.50,₱390.00,₱0.00,₱926.25,"13,477.25"
SAMPLE LAST NAME 12,SAMPLE FIRST NAME 12,"₱21,000.00",₱965.52,₱120.69,2.01,,"₱10,500.00",,₱0.00,,"₱10,500.00",,45,₱90.45,,₱90.45,"₱10,409.55","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"9,459.55"
SAMPLE LAST NAME 13,SAMPLE FIRST NAME 13,"₱29,000.00","₱1,450.00",₱181.25,3.02,78,"₱14,137.50",,₱0.00,,"₱14,137.50",,0,₱0.00,,₱0.00,"₱14,137.50","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"13,187.50"
SAMPLE LAST NAME 14,SAMPLE FIRST NAME 14,"₱29,000.00","₱1,333.33",₱166.67,2.78,,"₱14,500.00",6,"₱1,000.00",,"₱15,500.00",,0,₱0.00,₱895.45,₱895.45,"₱14,604.55","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"13,654.55"
SAMPLE LAST NAME 15,SAMPLE FIRST NAME 15,"₱29,000.00","₱1,450.00",₱181.25,3.02,84,"₱15,225.00",6,"₱1,087.50","₱1,977.24","₱18,289.74",,0,₱0.00,,₱0.00,"₱18,289.74","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"17,339.74"
SAMPLE LAST NAME 16,SAMPLE FIRST NAME 16,"₱39,000.00","₱1,950.00",₱243.75,4.06,84,"₱20,475.00",,₱0.00,,"₱20,475.00",,0,₱0.00,,₱0.00,"₱20,475.00","₱1,750.00",₱975.00,₱780.00,"₱1,504.10","₱2,504.55","17,970.45"
SAMPLE LAST NAME 17,SAMPLE FIRST NAME 17,"₱50,000.00","₱2,298.85",₱287.36,4.79,,"₱25,000.00",,₱0.00,,"₱25,000.00",,0,₱0.00,,₱0.00,"₱25,000.00","₱1,750.00","₱1,250.00","₱1,000.00","₱2,604.10","₱3,302.05","21,697.95"
SAMPLE LAST NAME 18,SAMPLE FIRST NAME 18,"₱19,500.00",₱750.00,₱93.75,1.56,,"₱6,750.00",4,₱375.00,,"₱7,125.00",,0,₱0.00,,₱0.00,"₱7,125.00",₱975.00,₱487.50,₱390.00,₱0.00,₱926.25,"6,198.75"
SAMPLE LAST NAME 19,SAMPLE FIRST NAME 19,"₱32,000.00","₱1,471.26",₱183.91,3.07,,"₱16,000.00",,₱0.00,,"₱16,000.00",,0,₱0.00,,₱0.00,"₱16,000.00","₱1,600.00",₱800.00,₱640.00,₱804.10,"₱1,922.05","14,077.95"
SAMPLE LAST NAME 20,SAMPLE FIRST NAME 20,"₱20,000.00",₱919.54,₱114.94,1.92,,"₱10,000.00",1,₱114.94,,"₱10,114.94",,5783,₱44.16,,₱44.16,"₱10,070.78","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"9,120.78"
SAMPLE LAST NAME 21,SAMPLE FIRST NAME 21,"₱19,500.00",₱750.00,₱93.75,1.56,,"₱9,750.00",,₱0.00,,"₱9,750.00",,0,₱0.00,,₱0.00,"₱9,750.00",₱975.00,₱487.50,₱390.00,₱0.00,₱926.25,"8,823.75"
SAMPLE LAST NAME 22,SAMPLE FIRST NAME 22,"₱35,000.00","₱1,750.00",₱218.75,3.65,84,"₱18,375.00",,₱0.00,,"₱18,375.00",,0,₱0.00,,₱0.00,"₱18,375.00","₱1,750.00",₱875.00,₱700.00,"₱1,104.10","₱2,214.55","16,160.45"
SAMPLE LAST NAME 23,SAMPLE FIRST NAME 23,"₱20,000.00",₱919.54,₱114.94,1.92,,"₱10,000.00",,₱0.00,,"₱10,000.00",,0,₱0.00,₱230.00,₱230.00,"₱9,770.00","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"8,820.00"
SAMPLE LAST NAME 24,SAMPLE FIRST NAME 24,"₱29,000.00","₱1,450.00",₱181.25,3.02,102,"₱18,487.50",,₱0.00,,"₱18,487.50",,65,₱196.30,,₱196.30,"₱18,291.20","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"17,341.20"
SAMPLE LAST NAME 25,SAMPLE FIRST NAME 25,"₱23,000.00","₱1,057.47",₱132.18,2.2,,"₱11,500.00",,₱0.00,,"₱11,500.00",,0,₱0.00,,₱0.00,"₱11,500.00","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"10,550.00"
SAMPLE LAST NAME 26,SAMPLE FIRST NAME 26,"₱25,000.00","₱1,250.00",₱156.25,2.6,78,"₱12,187.50",,₱0.00,,"₱12,187.50",,0,₱0.00,,₱0.00,"₱12,187.50",₱0.00,₱0.00,₱0.00,₱0.00,₱0.00,"12,187.50"
SAMPLE LAST NAME 27,SAMPLE FIRST NAME 27,"₱29,000.00","₱1,450.00",₱181.25,3.02,96,"₱17,400.00",,₱0.00,,"₱17,400.00",,0,₱0.00,,₱0.00,"₱17,400.00","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"16,450.00"
SAMPLE LAST NAME 28,SAMPLE FIRST NAME 28,"₱29,000.00","₱1,450.00",₱181.25,3.02,96,"₱17,400.00",,₱0.00,,"₱17,400.00",,0,₱0.00,,₱0.00,"₱17,400.00","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"16,450.00"
